Date,SPY,EFA,AGG,GLD,VNQ
2018-05-16,243.334,63.1344,97.8547,122.29,64.6848
2018-05-17,243.113,63.2312,97.7153,122.36,64.3604
2018-05-18,242.481,63.0033,97.9673,122.41,64.4469
2018-05-21,244.32,63.4014,97.9772,122.48,65.2117
2018-05-22,243.649,63.3212,97.9772,122.41,65.3021
2018-05-23,244.31,62.6227,98.2641,122.54,65.9569
2018-05-24,243.824,62.428,98.5498,123.59,65.8222
2018-05-25,243.248,62.022,98.7559,123.21,66.0512
2018-05-29,240.434,60.76,99.4171,123.19,66.3658
2018-05-30,243.649,61.6855,99.1781,123.37,67.2673
2018-05-31,242.148,61.298,99.0886,123.1,67.0391
2018-06-01,244.522,61.8283,98.9551,122.49,67.335
2018-06-04,245.699,62.0152,98.7261,122.37,67.919
2018-06-05,245.879,61.9173,98.7957,122.85,67.742
2018-06-06,247.919,62.474,98.5786,122.92,67.9033
2018-06-07,247.89,62.1198,98.7858,122.86,67.9033
2018-06-08,248.616,62.1893,98.6464,123.01,68.151
2018-06-11,248.963,62.5885,98.5498,123.23,68.0467
2018-06-12,249.277,62.1893,98.5786,122.82,68.4567
2018-06-13,248.493,62.2774,98.4811,123.19,67.1217
2018-06-14,249.105,62.1453,98.736,123.38,67.7597
2018-06-15,248.79,61.8283,98.7659,121.34,67.7185
2018-06-18,248.302,61.3871,98.7858,121.11,67.7332
2018-06-19,247.324,60.8196,98.8804,120.8,67.6644
2018-06-20,247.755,60.8637,98.7061,120.26,68.4203
2018-06-21,246.214,60.4303,98.736,120.05,68.7447
2018-06-22,246.666,61.0721,98.8117,120.34,69.2864
2018-06-25,243.314,60.2248,98.7659,119.89,69.1064
2018-06-26,243.843,60.3334,98.9252,119.26,69.3286
2018-06-27,241.822,59.764,99.1184,118.58,69.0632
2018-06-28,243.209,59.991,99.1084,118.22,69.6795
2018-06-29,243.565,60.3246,99.1981,118.65,69.8526
2018-07-02,244.092,59.7738,99.0984,117.46,69.4672
2018-07-03,243.219,59.9538,99.3075,118.65,69.9912
2018-07-05,245.184,60.5496,99.3972,119.05,70.8228
2018-07-06,247.258,60.8735,99.4868,118.86,71.1983
2018-07-09,249.497,61.4585,99.4071,119.15,70.6331
2018-07-10,250.389,61.4301,99.3275,118.93,70.7795
2018-07-11,248.56,60.4048,99.3673,117.64,70.5455
2018-07-12,250.791,60.8735,99.4769,118.13,70.7619
2018-07-13,250.99,61.0632,99.5664,117.61,70.5455
2018-07-16,250.761,61.0349,99.457,117.55,70.1681
2018-07-17,251.795,61.1435,99.4171,116.28,69.7061
2018-07-18,252.339,61.1523,99.4071,116.31,69.3974
2018-07-19,251.382,61.0261,99.5466,115.81,70.2133
2018-07-20,251.078,61.3157,99.3573,116.56,69.5351
2018-07-23,251.555,61.3157,99.0049,116.0,69.3906
2018-07-24,252.838,61.6747,99.1582,116.04,69.0377
2018-07-25,254.962,62.1335,99.1682,116.68,69.5861
2018-07-26,254.39,61.8537,99.1084,115.77,69.8171
2018-07-27,252.674,61.9721,99.1881,115.83,69.072
2018-07-30,251.334,61.9633,99.0746,115.65,69.1153
2018-07-31,252.596,62.0435,99.1682,115.99,70.2733
2018-08-01,252.15,61.7285,99.0546,115.14,70.7707
2018-08-02,253.508,61.3254,99.0984,114.52,70.4876
2018-08-03,254.619,61.3587,99.3175,114.92,71.2504
2018-08-06,255.546,61.0975,99.3773,114.33,71.155
2018-08-07,256.38,61.5759,99.208,114.59,71.0263
2018-08-08,256.273,61.5221,99.208,114.91,70.6154
2018-08-09,255.939,61.3411,99.3375,114.74,70.6508
2018-08-10,254.214,60.1172,99.5466,114.69,70.1111
2018-08-13,253.248,59.901,99.5964,112.96,69.9715
2018-08-14,254.868,59.8922,99.5068,113.07,70.3155
2018-08-15,252.962,59.0273,99.6462,111.19,70.8553
2018-08-16,255.011,59.4402,99.7059,111.1,71.4304
2018-08-17,255.93,59.7924,99.7657,112.13,72.0909
2018-08-20,256.466,60.1172,99.9348,112.69,72.1411
2018-08-21,257.068,60.4851,99.865,113.02,71.7066
2018-08-22,256.906,60.7208,99.9348,113.27,71.3006
2018-08-23,256.57,60.2874,99.8949,112.2,71.1236
2018-08-24,258.131,60.6377,99.9947,114.16,71.5424
2018-08-27,260.171,61.4497,99.8749,114.59,71.2839
2018-08-28,260.293,61.3969,99.6959,113.68,72.2452
2018-08-29,261.681,61.7285,99.676,114.2,72.2639
2018-08-30,260.628,61.1435,99.7258,113.64,71.798
2018-08-31,260.637,60.6563,99.7159,113.51,72.083
2018-09-04,260.197,60.1426,99.5964,112.93,71.2269
2018-09-05,259.47,59.5948,99.5566,113.32,71.6357
2018-09-06,258.686,59.4138,99.7258,113.54,71.8422
2018-09-07,258.206,58.9354,99.3773,113.23,71.0617
2018-09-10,258.638,59.2974,99.457,113.15,71.3782
2018-09-11,259.49,59.3492,99.3075,113.22,71.3703
2018-09-12,259.547,59.6036,99.3673,114.17,71.4047
2018-09-13,261.08,60.0448,99.4171,113.76,71.7576
2018-09-14,261.126,60.1338,99.2578,113.02,71.3006
2018-09-17,259.748,60.1886,99.2578,113.61,71.5335
2018-09-18,261.156,60.8196,99.0248,113.44,71.1895
2018-09-19,261.434,61.0349,98.8217,113.88,70.3579
2018-09-20,263.567,61.7921,98.965,114.27,71.0184
2018-09-21,263.325,61.8195,99.0447,113.49,70.9919
2018-09-24,262.447,61.5407,98.9451,113.47,69.7149
2018-09-25,262.227,61.8449,98.8903,113.65,69.7228
2018-09-26,261.405,61.8733,99.1482,113.05,68.8892
2018-09-27,262.17,61.7481,99.218,112.05,69.2175
2018-09-28,262.198,61.2423,99.1084,112.76,70.1573
