,Total Return,Annualized Return,Annualized Volatility,Sharpe,Sortino,Max Drawdown
ML Robust,0.33854341751631134,0.15762657277116454,0.10315651237490249,1.5280331715587776,2.2758832368339172,-0.1001259753667394
Historical MVO,0.37471740588863733,0.1732269791160148,0.098334141982472,1.7616158093583854,2.571050647553856,-0.08480268654989598
Equal Weight,0.22703169687725255,0.10816618644462905,0.0945525605266869,1.1439794527203713,1.7085968361646937,-0.09281876521038457
Risk Parity,0.178418347455632,0.08590486467163339,0.07901532070461517,1.0871925078020446,1.602070719699105,-0.08261603410922869
