,ML Robust,Historical MVO,Equal Weight,Risk Parity
SPY,0.35833333333332784,0.3999999999999999,0.20000000000000004,0.13205423902774963
EFA,0.1333333333334278,0.16843856104884333,0.20000000000000004,0.13469188978502497
AGG,0.16432105912159733,0.061491088976721064,0.20000000000000004,0.39973361694193166
GLD,0.21901227420616043,0.36472398377707,0.20000000000000004,0.22039444088326854
VNQ,0.12500000000000877,0.00534636619736601,0.20000000000000004,0.11312581336107187
